"date","topic","entryCount","topic_totalCount","topic_monthCount","topic_propTopic","topic_propMonth","set","entryCount_total","topic_propTotal","datePlot"
"January","covid",148,1854,506,0.0798274,0.292490119,"2020",5077,0.0291510734685838,"JAN"
"January","social",176,1274,506,0.138147567,0.347826087,"2020",5077,0.0346661414220997,"JAN"
"January","occupation",125,1050,506,0.119047619,0.247035573,"2020",5077,0.0246208390781958,"JAN"
"January","election",33,283,506,0.116607774,0.065217391,"2020",5077,0.00649990151664369,"JAN"
"January","domestic",21,161,506,0.130434783,0.041501976,"2020",5077,0.00413630096513689,"JAN"
"January","BLM",2,74,506,0.027027027,0.003952569,"2020",5077,0.000393933425251133,"JAN"
"January","covid-onset",1,51,506,0.019607843,0.001976285,"2020",5077,0.000196966712625566,"JAN"
"February","covid",192,1854,405,0.103559871,0.474074074,"2020",5077,0.0378176088241087,"FEB"
"February","social",106,1274,405,0.083202512,0.261728395,"2020",5077,0.02087847153831,"FEB"
"February","occupation",64,1050,405,0.060952381,0.158024691,"2020",5077,0.0126058696080362,"FEB"
"February","election",20,283,405,0.070671378,0.049382716,"2020",5077,0.00393933425251133,"FEB"
"February","domestic",17,161,405,0.105590062,0.041975309,"2020",5077,0.00334843411463463,"FEB"
"February","BLM",3,74,405,0.040540541,0.007407407,"2020",5077,0.000590900137876699,"FEB"
"February","covid-onset",3,51,405,0.058823529,0.007407407,"2020",5077,0.000590900137876699,"FEB"
"March","covid",547,1854,994,0.295037756,0.550301811,"2020",5077,0.107740791806185,"MAR"
"March","social",122,1274,994,0.095761381,0.122736419,"2020",5077,0.0240299389403191,"MAR"
"March","occupation",278,1050,994,0.264761905,0.279678068,"2020",5077,0.0547567461099074,"MAR"
"March","election",12,283,994,0.042402827,0.012072435,"2020",5077,0.0023636005515068,"MAR"
"March","domestic",5,161,994,0.031055901,0.005030181,"2020",5077,0.000984833563127831,"MAR"
"March","BLM",5,74,994,0.067567568,0.005030181,"2020",5077,0.000984833563127831,"MAR"
"March","covid-onset",25,51,994,0.490196078,0.025150905,"2020",5077,0.00492416781563916,"MAR"
"April","covid",187,1854,403,0.100862999,0.464019851,"2020",5077,0.0368327752609809,"APR"
