"subject","event","month","response","error","absError","covid"
1,"caucusNV","February",3,1,1,0
1,"primaryNH","February",4,2,2,0
1,"covid","March",5,2,2,1
1,"firstStim","March",2,-1,1,0
1,"borisJCovid","April",4,0,0,0
1,"georgeFloyd","May",6,1,1,0
1,"BLM","June",7,1,1,0
1,"barronTrump","June",8,2,2,0
1,"trumpInterview","September",9,0,0,0
1,"RBG","September",9,0,0,0
1,"presDebates","October",9,-1,1,0
1,"presBiden","November",11,0,0,0
1,"trumpFraud","November",11,0,0,0
1,"secondStim","December",1,-11,11,0
2,"kobe","January",9,8,8,0
2,"caucusNV","February",8,6,6,0
2,"primaryNH","February",8,6,6,0
2,"covid","March",6,3,3,1
2,"firstStim","March",6,3,3,0
2,"borisJCovid","April",7,3,3,0
2,"georgeFloyd","May",5,0,0,0
2,"BLM","June",5,-1,1,0
2,"nayaRivera","July",7,0,0,0
2,"RBG","September",3,-6,6,0
2,"presDebates","October",10,0,0,0
2,"presBiden","November",11,0,0,0
2,"trumpFraud","November",11,0,0,0
2,"secondStim","December",9,-3,3,0
3,"kobe","January",1,0,0,0
3,"soleimani","January",11,10,10,0
3,"caucusNV","February",6,4,4,0
3,"primaryNH","February",7,5,5,0
3,"covid","March",3,0,0,1
3,"firstStim","March",6,3,3,0
3,"borisJCovid","April",9,5,5,0
3,"NFL","April",5,1,1,0
3,"georgeFloyd","May",9,4,4,0
3,"olsenDivorce","May",8,3,3,0
3,"BLM","June",9,3,3,0
3,"barronTrump","June",6,0,0,0
3,"jadaSmith","July",10,3,3,0
3,"nayaRivera","July",10,3,3,0
3,"falwell","August",8,0,0,0
3,"trumpInterview","September",8,-1,1,0
3,"RBG","September",7,-2,2,0
3,"presDebates","October",9,-1,1,0
3,"presBiden","November",11,0,0,0
3,"trumpFraud","November",11,0,0,0
3,"secondStim","December",10,-2,2,0
4,"kobe","January",9,8,8,0
4,"covid","March",3,0,0,1
4,"firstStim","March",4,1,1,0
4,"borisJCovid","April",9,5,5,0
4,"georgeFloyd","May",5,0,0,0
4,"BLM","June",6,0,0,0
4,"RBG","September",7,-2,2,0
4,"presDebates","October",10,0,0,0
4,"presBiden","November",11,0,0,0
4,"trumpFraud","November",11,0,0,0
4,"secondStim","December",8,-4,4,0
5,"kobe","January",5,4,4,0
5,"soleimani","January",4,3,3,0
5,"caucusNV","February",6,4,4,0
5,"primaryNH","February",2,0,0,0
5,"covid","March",3,0,0,1
5,"firstStim","March",4,1,1,0
5,"borisJCovid","April",6,2,2,0
5,"NFL","April",7,3,3,0
5,"georgeFloyd","May",5,0,0,0
5,"BLM","June",7,1,1,0
5,"falwell","August",4,-4,4,0
5,"thomBrenn","August",6,-2,2,0
5,"trumpInterview","September",9,0,0,0
5,"RBG","September",9,0,0,0
5,"toobinZoom","October",8,-2,2,0
5,"presDebates","October",10,0,0,0
5,"presBiden","November",11,0,0,0
5,"trumpFraud","November",12,1,1,0
5,"secondStim","December",10,-2,2,0
6,"kobe","January",1,0,0,0
6,"covid","March",2,-1,1,1
6,"firstStim","March",3,0,0,0
6,"borisJCovid","April",8,4,4,0
6,"NFL","April",4,0,0,0
6,"georgeFloyd","May",4,-1,1,0
6,"olsenDivorce","May",9,4,4,0
6,"BLM","June",5,-1,1,0
6,"barronTrump","June",4,-2,2,0
6,"nayaRivera","July",5,-2,2,0
6,"trumpInterview","September",9,0,0,0
6,"RBG","September",5,-4,4,0
6,"toobinZoom","October",3,-7,7,0
6,"presDebates","October",2,-8,8,0
6,"presBiden","November",11,0,0,0
6,"trumpFraud","November",12,1,1,0
6,"baldwin","December",11,-1,1,0
