"subject","event1","event2","actualDist","value","bothMem","respProp","actProp","propDiff","propAbsDiff","pairOrder","avgMem","avgSurp","avgPos","avgNeg","distFactor","lockdownFactor"
1,"covid","BLM",82,43,1,0.43,0.224657534246575,0.205342465753425,0.205342465753425,1,88,81,54,54,0,"l"
1,"covid","presBiden",241,41,1,0.41,0.66027397260274,-0.25027397260274,0.25027397260274,1,100,89.5,83.5,34,1,"l"
1,"firstStim","georgeFloyd",59,38,1,0.38,0.161643835616438,0.218356164383562,0.218356164383562,1,100,64,39.5,47,0,"l"
1,"georgeFloyd","RBG",116,57,1,0.57,0.317808219178082,0.252191780821918,0.252191780821918,1,100,33,0,91.5,1,"al"
1,"georgeFloyd","trumpFraud",166,36,1,0.36,0.454794520547945,-0.0947945205479452,0.0947945205479452,1,95,35.5,3.5,91.5,1,"al"
1,"kobe","covid",44,47,0,0.47,0.120547945205479,0.349452054794521,0.349452054794521,NA,50,50,33.5,32,0,"bl"
1,"kobe","firstStim",60,45,0,0.45,0.164383561643836,0.285616438356164,0.285616438356164,NA,50,50,39.5,5.5,0,"bl"
1,"kobe","RBG",235,73,0,0.73,0.643835616438356,0.0861643835616438,0.0861643835616438,NA,50,19,0,50,1,"l"
1,"RBG","presBiden",51,72,1,0.72,0.13972602739726,0.58027397260274,0.58027397260274,1,100,58.5,50,52,0,"al"
1,"soleimani","BLM",148,45,0,0.45,0.405479452054795,0.0445205479452055,0.0445205479452055,NA,38,31,20.5,22,1,"l"
1,"soleimani","covid",67,40,0,0.4,0.183561643835616,0.216438356164384,0.216438356164384,NA,50,50,33.5,32,0,"bl"
10,"covid","BLM",82,74,1,0.74,0.224657534246575,0.515342465753425,0.515342465753425,0,96,36,16,75,0,"l"
10,"covid","presBiden",241,7,1,0.07,0.66027397260274,-0.59027397260274,0.59027397260274,0,97,35,50,49,1,"l"
10,"firstStim","georgeFloyd",59,38,1,0.38,0.161643835616438,0.218356164383562,0.218356164383562,0,94.5,20,51,46.5,0,"l"
