"subject","event","date","memory","negative","positive","surprise","covid","datePlot"
1,"BLM","June",76,44,41,62,0,"JUN"
1,"NFL","April",0,0,0,0,0,"APR"
1,"RBG","September",100,100,0,38,0,"SEP"
1,"baldwin","December",0,0,0,0,0,"DEC"
1,"barronTrump","June",6,15,0,22,0,"JUN"
1,"borisJCovid","April",60,38,8,85,0,"APR"
1,"caucusNV","February",15,0,19,13,0,"FEB"
1,"covid","March",100,64,67,100,1,"MAR"
1,"falwell","August",0,0,0,0,0,"AUG"
1,"firstStim","March",100,11,79,100,0,"MAR"
1,"georgeFloyd","May",100,83,0,28,0,"MAY"
1,"jadaSmith","July",0,0,0,0,0,"JUL"
1,"kobe","January",0,0,0,0,0,"JAN"
1,"nayaRivera","July",0,0,0,0,0,"JUL"
1,"olsenDivorce","May",0,0,0,0,0,"MAY"
1,"presBiden","November",100,4,100,79,0,"NOV"
1,"presDebates","October",100,49,35,9,0,"OCT"
1,"primaryNH","February",34,0,53,46,0,"FEB"
1,"secondStim","December",100,11,42,100,0,"DEC"
1,"soleimani","January",0,0,0,0,0,"JAN"
1,"thomBrenn","August",0,0,0,0,0,"AUG"
1,"toobinZoom","October",0,0,0,0,0,"OCT"
1,"trumpFraud","November",90,100,7,43,0,"NOV"
1,"trumpInterview","September",55,100,0,78,0,"SEP"
2,"BLM","June",90,71,31,87,0,"JUN"
2,"NFL","April",0,0,0,0,0,"APR"
2,"RBG","September",57,90,8,75,0,"SEP"
2,"baldwin","December",0,0,0,0,0,"DEC"
2,"barronTrump","June",0,0,0,0,0,"JUN"
2,"borisJCovid","April",36,33,23,54,0,"APR"
2,"caucusNV","February",4,0,61,25,0,"FEB"
2,"covid","March",86,79,6,93,1,"MAR"
2,"falwell","August",0,0,0,0,0,"AUG"
2,"firstStim","March",85,0,86,89,0,"MAR"
2,"georgeFloyd","May",87,76,0,84,0,"MAY"
2,"jadaSmith","July",0,0,0,0,0,"JUL"
2,"kobe","January",90,80,0,86,0,"JAN"
2,"nayaRivera","July",90,92,0,97,0,"JUL"
2,"olsenDivorce","May",0,0,0,0,0,"MAY"
2,"presBiden","November",94,0,95,60,0,"NOV"
2,"presDebates","October",57,57,31,7,0,"OCT"
2,"primaryNH","February",13,0,66,22,0,"FEB"
2,"secondStim","December",60,8,90,63,0,"DEC"
2,"soleimani","January",0,0,0,0,0,"JAN"
2,"thomBrenn","August",0,0,0,0,0,"AUG"
2,"toobinZoom","October",0,0,0,0,0,"OCT"
2,"trumpFraud","November",86,100,0,85,0,"NOV"
2,"trumpInterview","September",0,0,0,0,0,"SEP"
3,"BLM","June",59,49,49,48,0,"JUN"
3,"NFL","April",44,42,52,45,0,"APR"
3,"RBG","September",29,55,18,27,0,"SEP"
3,"baldwin","December",0,0,0,0,0,"DEC"
3,"barronTrump","June",8,8,6,6,0,"JUN"
3,"borisJCovid","April",48,54,42,42,0,"APR"
3,"caucusNV","February",11,5,9,7,0,"FEB"
3,"covid","March",95,66,26,65,1,"MAR"
3,"falwell","August",9,15,7,11,0,"AUG"
3,"firstStim","March",59,44,64,65,0,"MAR"
3,"georgeFloyd","May",54,53,36,60,0,"MAY"
3,"jadaSmith","July",24,54,31,55,0,"JUL"
3,"kobe","January",57,64,12,79,0,"JAN"
3,"nayaRivera","July",20,33,15,26,0,"JUL"
3,"olsenDivorce","May",5,50,50,10,0,"MAY"
3,"presBiden","November",71,33,62,48,0,"NOV"
3,"presDebates","October",74,51,52,25,0,"OCT"
3,"primaryNH","February",35,50,50,50,0,"FEB"
3,"secondStim","December",61,40,59,61,0,"DEC"
