"month","mem_prop_2020","memory","surprise","positive","negative"
"April",0.0801292082674945,27.695,11.925,9.1725,10.8225
"August",0.0458698153877421,8.4875,7.09,4.2475,7.1
"December",0.0312667570151555,44.055,29.165,38.545,6.7775
"February",0.0743232238553352,21.88,10.9175,21.575,6.1975
"January",0.0953689712877136,57.3475,58.0725,7.94,43.54
"July",0.0599778976109711,28.98,29.59,2.0875,22.4625
"June",0.0529300747388819,46.8475,23.035,23.6125,20.1525
"March",0.245936591936227,84.805,68.875,43.03,41.88
"May",0.0552124230246663,47.0225,29.1625,1.9775,42.8075
"November",0.0896004693674099,87.2925,36.1325,35.8425,44.4425
"October",0.0467893278339444,41.1375,11.065,16.105,21.095
"September",0.046090422116324,49.465,23.28,3.3975,45.015
